source_hostname,destination_hostname,port,connection_status,service,daemon,comment,test_type
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,16030,ACCESSIBLE,HBase (Infra),RegionServer,HTTP,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,18088,BLOCKED,Spark 3,History Server,HTTP port for the Spark History Server WebUI.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,18088,ACCESSIBLE,Spark 3,History Server,HTTP port for the Spark History Server WebUI.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,18488,BLOCKED,Spark 3,History Server with TLS,HTTPS port for Spark History Server WebUI. Only used when SSL is enabled for Spark History Server.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,18488,ACCESSIBLE,Spark 3,History Server with TLS,HTTPS port for Spark History Server WebUI. Only used when SSL is enabled for Spark History Server.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,19888,BLOCKED,YARN,JobHistory Server	,mapreduce.jobhistory.webapp.address,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,19888,ACCESSIBLE,YARN,JobHistory Server	,mapreduce.jobhistory.webapp.address,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,19890,BLOCKED,YARN,JobHistory Server	,mapreduce.jobhistory.webapp.https.address,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,19890,ACCESSIBLE,YARN,JobHistory Server	,mapreduce.jobhistory.webapp.https.address,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,20550,BLOCKED,HBase (Infra),REST,The default REST port in HBase is 8080. Because this is a commonly used port, Cloudera Manager sets the default to 20550 instead.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,20550,ACCESSIBLE,HBase (Infra),REST,The default REST port in HBase is 8080. Because this is a commonly used port, Cloudera Manager sets the default to 20550 instead.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,21000,BLOCKED,Impala,Impala Daemon,Used to transmit commands and receive results by impala-shell and version 1.2 of the Cloudera ODBC driver.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,21050,BLOCKED,Impala,Impala Daemon,Used to transmit commands and receive results by applications, such as Business Intelligence tools, using JDBC, the Beeswax query editor in Hue, and version 2.0 or higher of the Cloudera ODBC driver.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,21000,ACCESSIBLE,Impala,Impala Daemon,Used to transmit commands and receive results by impala-shell and version 1.2 of the Cloudera ODBC driver.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,25000,BLOCKED,Impala,Impala Daemon,Impala web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,21050,ACCESSIBLE,Impala,Impala Daemon,Used to transmit commands and receive results by applications, such as Business Intelligence tools, using JDBC, the Beeswax query editor in Hue, and version 2.0 or higher of the Cloudera ODBC driver.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,25010,BLOCKED,Impala,StateStore Daemon,StateStore web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,25000,ACCESSIBLE,Impala,Impala Daemon,Impala web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,25020,BLOCKED,Impala,Catalog Daemon,Catalog service web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,25010,ACCESSIBLE,Impala,StateStore Daemon,StateStore web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,28000,BLOCKED,Impala,Impala Daemon,Used to transmit commands and receive results by client applications over HTTP through the HiveServer2 protocol.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,25020,ACCESSIBLE,Impala,Catalog Daemon,Catalog service web interface for administrators to monitor and troubleshoot.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,28083,BLOCKED,Kafka,Kafka connect,Kafka Connect Rest Port.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,28000,ACCESSIBLE,Impala,Impala Daemon,Used to transmit commands and receive results by client applications over HTTP through the HiveServer2 protocol.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,28084,BLOCKED,Kafka,Kafka connect,Jetty Metrics Port,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,28083,ACCESSIBLE,Kafka,Kafka connect,Kafka Connect Rest Port.,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,28085,BLOCKED,Kafka,Kafka connect,Kafka Connect Secure Rest Port,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,28084,ACCESSIBLE,Kafka,Kafka connect,Jetty Metrics Port,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,28087,BLOCKED,Kafka,Kafka connect,Secure Jetty Metrics Port,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,31000,BLOCKED,Atlas,Atlas Server,HTTP port,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,28085,ACCESSIBLE,Kafka,Kafka connect,Kafka Connect Secure Rest Port,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,31443,BLOCKED,Atlas,Atlas Server,HTTPS port,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,28087,ACCESSIBLE,Kafka,Kafka connect,Secure Jetty Metrics Port,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,50079,BLOCKED,HDFS,NFS gateway,The NFS gateway daemon uses this port to serve metrics. The port is configurable on versions 5.10 and higher.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,31000,ACCESSIBLE,Atlas,Atlas Server,HTTP port,Port_Connectivity_Test
ip-172-31-31-151.eu-north-1.compute.internal,ip-172-31-25-226.eu-north-1.compute.internal,50579,BLOCKED,HDFS,NFS gateway,The NFS gateway daemon uses this port to serve metrics. The port is configurable on versions 5.10 and higher.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,31443,ACCESSIBLE,Atlas,Atlas Server,HTTPS port,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,50079,ACCESSIBLE,HDFS,NFS gateway,The NFS gateway daemon uses this port to serve metrics. The port is configurable on versions 5.10 and higher.,Port_Connectivity_Test
ip-172-31-25-226.eu-north-1.compute.internal,ip-172-31-31-151.eu-north-1.compute.internal,50579,ACCESSIBLE,HDFS,NFS gateway,The NFS gateway daemon uses this port to serve metrics. The port is configurable on versions 5.10 and higher.,Port_Connectivity_Test
